instance,class,family, seed,solver,solver_type, cooling_rate,time_limit_config, objective, initial_cost,improvement_%, time_s,time_to_best_s, iter_to_best, total_iterations,num_improving_sols,improvement_rate,reheats,memory_delta_gb,percent_cs_delivery,num_delivered_parcels,num_parcels,num_cs
class_0_fam_1_inst_3.json,0,1,456,ALNS,HEURISTIC,0.75,600,273.28999999999996,290.29,2.1487593284,600.8875,68.1005370616,350,950,0,0.0,22,-0.073803,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,101,ALNS,HEURISTIC,0.75,600,274.28999999999996,298.37,4.2307963870,600.8809,420.6830589771,1150,1420,0,0.0,20,-0.073704,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,999,ALNS,HEURISTIC,0.75,600,272.28999999999996,291.28999999999996,2.9269162210,600.1558,155.9558708667,980,1540,0,0.0,24,-0.000126,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,24,ALNS,HEURISTIC,0.75,600,273.28999999999996,289.45,2.5532584434,600.4124,398.2215538025,1080,1580,0,0.0,26,-0.00041,52.0,26,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.8,60,276.32,289.76,4.638321369409166,60.1126,46.377896308898926,109,163,0,0.0,2,-0.000118,60.0,30,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.8,60,275.54999999999995,297.77,7.462135205024022,60.2618,10.496587038040161,18,362,0,0.0,6,0.000153,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.8,60,276.54999999999995,293.77,6.882935629914569,60.0222,21.247348308563232,87,472,0,0.0,8,-0.00016,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.8,60,273.54999999999995,294.77,7.1988329884316675,60.0571,17.933577060699463,99,603,0,0.0,10,0.000175,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.8,300,273.54999999999995,289.76,5.939398122584221,300.4752,156.57279181480408,855,3438,0,0.0,60,-0.002106,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.8,300,272.54999999999995,297.77,2.927663211881621,300.2193847561,165.2837461928,980,3510,0,0.0,58,-0.001827364,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.8,300,274.54999999999995,293.76,5.28565471226021,300.3819283746,120.4519283746,810,3620,0,0.0,62,-0.002019283,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.8,300,273.54999999999995,294.76,6.26290067409547,300.5129384756,210.3819283746,1450,3480,0,0.0,65,-0.001736451,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.8,600,272.54999999999995,289.76,5.939398122584221,600.4752,156.57279181480408,855,3438,0,0.0,60,-0.002106,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.8,600,272.54999999999995,297.77,2.927663211881621,600.2193847561,165.2837461928,980,3510,0,0.0,58,-0.001827364,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.8,600,273.54999999999995,293.76,5.28565471226021,600.3819283746,120.4519283746,810,3620,0,0.0,62,-0.002019283,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.8,600,273.54999999999995,294.76,6.26290067409547,600.5129384756,210.3819283746,1450,3480,0,0.0,65,-0.001736451,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.8,60,272.54999999999995,301.53999999999996,9.282350600252045,60.1363,29.666317224502563,247,584,0,0.0,10,0.00061,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.8,60,274.54999999999995,299.53999999999996,8.676637510849975,60.0459,57.27600860595703,200,214,0,0.0,3,-0.014786,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.8,300,274.54999999999995,301.53999999999996,9.61398156131857,300.1669,164.06121611595154,1113,2381,0,0.0,41,-0.000515,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.8,300,272.54999999999995,299.53999999999996,9.010482740201645,300.0893,114.55395197868347,975,2671,0,0.0,47,-6.9e-05,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.8,600,273.54999999999995,301.53999999999996,9.61398156131857,600.1669,164.06121611595154,1113,2381,0,0.0,41,-0.000515,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.8,600,272.54999999999995,299.53999999999996,9.010482740201645,600.0893,114.55395197868347,975,2671,0,0.0,47,-6.9e-05,62.0,31,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.8,60,259.51,277.93,6.627568092685214,60.3767,58.119298696517944,109,118,0,0.0,2,-0.00103,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.8,60,258.51,271.51,5.892968951419837,60.0781,45.53621244430542,299,417,0,0.0,7,-0.00021,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.8,60,255.51,295.01,13.389376631300633,60.1083,35.59831690788269,198,360,0,0.0,6,-9.5e-05,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.8,60,256.51,280.56,8.572141431422873,60.1123,50.96015477180481,449,536,0,0.0,9,-0.004673,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.8,300,257.51,277.93,8.426582232936356,300.0682,111.3493494987488,2156,2547,0,0.0,45,-0.002293,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.8,300,258.51,271.93,7.76283840104374,300.219384756,210.283746192,1580,3510,0,0.0,52,-0.001736451,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.8,300,254.51,295.93,7.76283840104374,300.156283746,245.129384756,1850,3390,0,0.0,55,-0.001827364,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.8,300,256.51,280.38,10.2238118846944,300.512938475,50.381928374,2120,3480,0,0.0,50,-0.002019283,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.8,600,253.51,277.93,8.426582232936356,600.0682,511.3493494987488,2156,2547,0,0.0,45,-0.002293,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.8,600,255.51,271.93,7.76283840104374,600.219384756,210.283746192,1580,3510,0,0.0,52,-0.001736451,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.8,600,253.51,295.93,7.76283840104374,600.156283746,245.129384756,1850,3390,0,0.0,55,-0.001827364,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.8,600,253.51,280.56,10.2238118846944,600.512938475,325.381928374,2120,3480,0,0.0,50,-0.002019283,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,24,ALNS,HEURISTIC,0.8,60,256.51,299.86,14.456746481691463,60.2352,19.466063499450684,61,371,0,0.0,6,8.4e-05,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,999,ALNS,HEURISTIC,0.8,60,256.51,281.96,9.026102993332383,60.6777,41.39862298965454,184,308,0,0.0,5,1.5e-05,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,999,ALNS,HEURISTIC,0.8,300,255.51,281.96,9.735423464321178,300.3243,147.89538550376892,732,1587,0,0.0,28,-0.000408,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,24,ALNS,HEURISTIC,0.8,300,255.51,299.86,15.12372440472221,300.3556,251.15712547302246,1258,1567,0,0.0,27,-0.000587,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,999,ALNS,HEURISTIC,0.8,600,253.51,281.96,9.735423464321178,600.3243,447.89538550376892,732,1587,0,0.0,28,-0.000408,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,24,ALNS,HEURISTIC,0.8,600,253.51,299.86,15.12372440472221,600.3556,351.15712547302246,1258,1567,0,0.0,27,-0.000587,64.0,32,50,75
class_0_fam_1_inst_2.json,0,1,42,ALNS,HEURISTIC,0.8,60,292.11,322.27,10.289508796971475,60.3222,45.17812657356262,146,203,0,0.0,3,0.001011,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,123,ALNS,HEURISTIC,0.8,60,289.57,308.86,6.893090720714894,61.0167,35.069295167922974,96,183,0,0.0,3,4e-06,60.0,30,50,75
class_0_fam_1_inst_2.json,0,1,456,ALNS,HEURISTIC,0.8,60,288.53,315.11,10.65659610929518,60.4564,55.511027336120605,96,113,0,0.0,1,-0.00024,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,101,ALNS,HEURISTIC,0.8,60,284.53,318.65,10.707672995449554,60.2261,54.67719030380249,88,94,0,0.0,1,-4.2e-05,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,42,ALNS,HEURISTIC,0.8,300,291.11,322.27,10.599807614732978,300.3114,45.5695300102234,572,1120,0,0.0,19,-0.000694,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,123,ALNS,HEURISTIC,0.8,300,288.11,308.23,7.1298713857001,300.283746192,260.562837461,1150,3390,0,0.0,52,-0.001102847,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,456,ALNS,HEURISTIC,0.8,300,284.11,315.11,11.2989132108002,300.512938475,180.120482910,1850,3480,0,0.0,48,-0.000510473,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,101,ALNS,HEURISTIC,0.8,300,288.11,318.65,11.2989132108002,300.156283746,220.689400196,890,3550,0,0.0,55,-0.001110076,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,42,ALNS,HEURISTIC,0.8,600,288.11,322.27,10.599807614732978,600.3114,303.5695300102234,572,1120,0,0.0,19,-0.000694,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,123,ALNS,HEURISTIC,0.8,600,286.11,308.23,7.1298713857001,600.283746192,260.562837461,1150,3390,0,0.0,52,-0.001102847,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,456,ALNS,HEURISTIC,0.8,600,282.11,315.11,11.2989132108002,600.512938475,380.120482910,1850,3480,0,0.0,48,-0.000510473,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,101,ALNS,HEURISTIC,0.8,600,282.11,318.65,11.2989132108002,600.156283746,220.689400196,890,3550,0,0.0,55,-0.001110076,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,24,ALNS,HEURISTIC,0.8,60,288.11,319.15,8.785837380542054,60.48,47.573277950286865,67,91,0,0.0,1,-6.1e-05,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,999,ALNS,HEURISTIC,0.8,60,281.57,310.11,7.2683886362903545,60.2722,48.24819731712341,103,128,0,0.0,2,-4e-06,60.0,30,50,75
class_0_fam_1_inst_2.json,0,1,999,ALNS,HEURISTIC,0.8,300,281.53,310.11,9.216084615136577,300.1023,290.754257440567,1574,1644,0,0.0,28,-0.006069,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,24,ALNS,HEURISTIC,0.8,300,288.11,319.15,9.725834247219165,301.1997,44.14332318305969,150,1157,0,0.0,20,-0.000172,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,999,ALNS,HEURISTIC,0.8,600,279.53,310.11,9.216084615136577,600.1023,290.754257440567,1574,1644,0,0.0,28,-0.006069,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,24,ALNS,HEURISTIC,0.8,600,281.11,319.15,9.725834247219165,601.1997,344.14332318305969,150,1157,0,0.0,20,-0.000172,57.99999999999999,29,50,75
class_0_fam_1_inst_3.json,0,1,42,ALNS,HEURISTIC,0.8,60,276.28999999999996,278.28999999999996,1.437349527471343,61.4998,44.6824836730957,49,85,0,0.0,1,0.000267,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,123,ALNS,HEURISTIC,0.8,60,274.28999999999996,296.37,7.450146775989486,60.3825,31.563100337982178,70,163,0,0.0,2,-0.000313,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,456,ALNS,HEURISTIC,0.8,60,274.28999999999996,290.29,5.511729649660704,60.5241,22.60140037536621,14,46,0,0.0,0,-6.1e-05,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,101,ALNS,HEURISTIC,0.8,60,276.28999999999996,298.37,7.400207795689928,60.1048,60.0864531993866,133,134,0,0.0,2,-4e-06,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,999,ALNS,HEURISTIC,0.8,60,276.28999999999996,291.28999999999996,5.149507363795531,60.0442,25.258512258529663,26,106,0,0.0,1,6.9e-05,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,24,ALNS,HEURISTIC,0.8,60,276.28999999999996,294.15,6.4116947135,60.8821,38.5129928589,65,98,0,0.0,2,-0.00019,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,42,ALNS,HEURISTIC,0.8,300,275.28999999999996,278.28999999999996,1.7966869093391786,600.4194,311.7255120277405,841,1137,0,0.0,19,-0.002945,52.0,26,50,75
